	alpha	beta	chi	delta	eta	gamma	kappa	lambda	mu	nu	omega	phi	rho	theta
60702-01-01-13	6.06956338801e-05	0.000661279874808	0.814347468438	8.27133907153e-05	0.138291419324	0.0178814785794	1.58740743343e-07	6.59291827863e-10	3.66557251875e-09	3.81910305116e-07	5.37907292025e-07	0.000759167207095	1.21901776301e-15	0.0279146946692
60702-01-01-13	1.98213129726e-05	0.000120743080136	0.921133407646	4.34859829675e-05	0.0472912934045	0.0194928794404	5.86326992369e-08	4.17744994516e-10	2.97037349633e-09	1.30309428666e-07	5.81069048022e-07	0.000529489095011	2.51389307687e-16	0.0113681066383
60702-01-01-13	3.14021890458e-05	6.20623644176e-05	0.93853668231	3.24011832848e-05	0.0299509702996	0.0253338298761	3.60069838891e-08	7.08386463369e-10	3.32401123564e-09	1.51747132615e-07	3.31394975853e-07	0.000630925379492	2.39857584847e-16	0.00542120321615
60702-01-01-13	1.72732518568e-05	2.53058376432e-05	0.964882204388	1.83886052137e-05	0.00918958101208	0.0231818594854	1.20320427618e-08	6.48978858947e-10	2.15543693255e-09	8.59929056445e-08	2.0370091891e-07	0.000427361206845	5.01332370738e-17	0.00225772168237
60702-01-01-13	7.78277684405e-05	3.51191817614e-05	0.959909455886	2.93186218028e-05	0.00560272929926	0.029245742778	1.18648895791e-08	5.08235946506e-09	1.88488569152e-09	1.06823261637e-07	8.33310204315e-07	0.000628788474295	2.54226403328e-16	0.00447005902508
60702-01-01-13	0.000872985341139	7.38361071034e-05	0.913414283022	0.000151377905292	0.00468260528307	0.0703990240096	2.61124577301e-08	1.36400478608e-07	3.62951026972e-09	2.22518183706e-07	5.84503336939e-06	0.00185139189533	4.48635795019e-15	0.00854826274285
90105-09-08-00	0.000129908430812	0.807913532697	8.2579891484e-09	4.49242870016e-09	0.0132269839585	1.20282616088e-06	9.45053296398e-07	8.51958807634e-09	1.35596817136e-07	1.4656514178e-07	5.17601567656e-10	7.46935238543e-09	1.68915513542e-06	0.178725426461
90105-09-08-00	0.00210172000596	0.307881684111	1.4246675998e-07	4.16770158273e-07	0.0189361084027	5.33531987422e-05	8.93813253594e-06	1.34802118453e-06	6.97396354085e-07	1.11440333576e-07	7.23242660918e-07	2.65789017654e-07	1.34773376568e-05	0.671001013685
90105-09-08-00	0.00284117810199	0.363779357088	1.48466109768e-07	2.28779408518e-06	0.00460801785332	0.000348187047989	0.000762884839286	5.45049544841e-05	4.08225651421e-06	4.33137995046e-08	0.000178540370609	1.49648689863e-06	1.45061106629e-07	0.627419126366
90105-09-08-00	0.000433964682856	0.358810377736	1.14441130106e-08	5.92841803507e-08	0.0013188683284	7.0973659761e-06	0.000310978542781	2.26108761576e-06	1.45344564893e-07	2.1234050745e-08	8.49425738509e-06	1.32867791637e-07	2.0537310839e-09	0.63910758577
90105-09-08-00	0.000190611916405	0.985399312717	4.71156264572e-08	8.84716347561e-10	0.00044008298101	1.09784065316e-07	2.29383780471e-07	6.43553760919e-09	2.54320970962e-10	3.04907455058e-07	4.98592373154e-11	2.48587055312e-08	1.17156895615e-12	0.0139692687108
90105-09-08-00	0.00247627159289	0.968635334229	0.00015996873133	5.67033343962e-10	0.0239482400595	6.68434578686e-08	1.33894593343e-09	5.47389257123e-12	3.32980237266e-13	4.03658852697e-05	6.10282873366e-14	1.00688844912e-06	1.2245774687e-14	0.00473874385832
90105-09-08-00	0.0103712305574	0.0323356420092	0.941141255126	3.99641332281e-07	0.0126287170813	0.000213031743601	7.38832431676e-08	3.52642552051e-10	5.0028194062e-12	4.60966682469e-05	1.85296960515e-09	0.00184182164672	1.00037602191e-18	0.00142172943215
90105-09-08-00	0.000683778897954	0.010087553616	0.9317625141	1.14180035758e-06	0.0509959881071	0.000316995390975	1.33163263143e-07	5.55917258563e-11	2.15817435356e-11	1.41667825993e-05	4.67618824986e-09	0.00128107416919	1.60851279889e-18	0.00485664921871
90105-09-08-00	0.000346866715898	0.00289948881001	0.901002975807	3.67438493896e-06	0.0867194064516	0.000691856596351	2.34970530667e-07	8.12062010502e-11	6.88922510895e-11	7.10333078026e-06	1.60630246626e-08	0.00194684485662	4.12183155055e-18	0.00638153186318
40703-01-04-00	0.000906528592739	0.958278032889	2.14760729752e-10	4.52711628644e-08	0.0360524952498	9.67444375259e-06	1.3167601749e-06	6.8086562352e-08	5.07211584943e-06	1.33166593469e-07	3.58473306932e-12	3.26298150626e-09	0.00304632479463	0.0017003051485
40703-01-04-00	0.00212931438331	0.79074582243	1.50017027442e-09	2.69585114151e-06	0.160475017794	0.00019148389825	2.64039784976e-05	9.49175808948e-07	5.67879047653e-05	7.81224440957e-08	1.55290423273e-09	4.33199332545e-08	0.040500669572	0.00587073051688
40703-01-04-00	0.00040538557108	0.0263079876995	2.81420342107e-10	3.79737767981e-07	0.0488125682491	1.31585348608e-05	2.2783115296e-07	4.09922075795e-08	1.97545147668e-06	6.1950724758e-09	1.32785971814e-10	3.79455708307e-09	0.92322719504	0.00123107048872
40703-01-04-00	0.312881434401	0.129815950376	3.87138822385e-06	0.00359422621175	0.427001475738	0.0973657525289	0.0006282214732	0.000852111855507	8.45162273836e-05	2.94553542922e-07	4.90081605469e-05	0.00012085846402	0.00150315513124	0.0260991234912
40703-01-04-00	0.959663492645	0.0149089424354	2.55220133288e-06	0.00015831153978	0.00376565427081	0.00842095402693	7.0524499029e-05	0.00561968191852	2.73212620469e-07	7.95908654989e-08	5.84007905392e-05	9.6014751362e-05	1.64911982255e-07	0.00723495320606
40703-01-04-00	0.99439988898	0.00401219902555	1.95869171415e-06	2.48453392997e-07	0.000304374950198	3.19844698964e-05	1.77521550627e-08	4.70974428773e-05	5.67019766653e-11	1.60164809243e-07	4.01156824061e-09	5.0060151041e-06	7.27845820052e-10	0.00119705925847
40703-01-04-00	0.988098118808	0.00425788919312	1.37469048757e-05	2.10226288757e-10	0.00730315301559	1.89735106426e-07	3.49022374295e-12	8.65528276402e-10	4.75132198189e-14	4.93078693365e-06	3.81017914116e-15	3.90820587313e-07	1.50722358834e-09	0.00032157814953
70702-01-53-00	3.26966117647e-06	0.00213602567821	4.49908378551e-11	2.00865354177e-09	1.73242414976e-07	7.58387513373e-07	7.92694680655e-09	1.37994411988e-05	8.25047020498e-10	7.56274468989e-13	5.41084377707e-06	1.22240256343e-11	7.57867573947e-10	0.997840551169
70702-01-53-00	2.60673440497e-05	0.00494250307616	1.27071934822e-09	2.43061163943e-08	1.34887582524e-06	1.0092617874e-05	3.38155040581e-08	4.9863087018e-05	4.53077317238e-09	6.1784559691e-12	3.09684784005e-05	2.71509463325e-10	3.03337626466e-09	0.994939089286
70702-01-53-00	0.00161826534636	0.0281197803006	6.79030554318e-09	4.05763579656e-06	0.000384930355586	0.00124174005485	3.31995435851e-05	0.00142189065437	2.62501466678e-06	1.06634364889e-10	0.00165860987809	3.39596738454e-08	1.68514391549e-05	0.96549800892
70702-01-53-00	6.4692213826e-05	0.002234091528	3.93248147158e-08	2.19236798667e-06	0.00014240613866	0.000389024755293	4.53197339785e-06	5.8720853376e-05	1.24000264572e-07	1.12479885921e-11	0.00633818108938	2.54375185026e-08	7.21238217621e-08	0.990765898182
70702-01-53-00	4.50613566222e-05	0.00279849340551	3.31255011853e-08	1.66144120037e-06	0.000158635544405	0.000249485286967	3.12190890069e-06	3.32663900545e-05	9.26364843813e-08	1.10108177889e-11	0.00312539200427	1.75290542585e-08	6.95450139653e-08	0.993584669815
70702-01-53-00	5.81389472311e-05	0.012863532337	7.77073054153e-09	5.76543697412e-07	0.000228311853285	3.34330765619e-05	8.36332572542e-07	9.56221539419e-06	2.14692120851e-08	2.64229627294e-11	7.7090661429e-05	4.66082646796e-09	2.09856429416e-07	0.986728274249
70702-01-53-00	1.05756021929e-06	0.000756794867643	5.5204566923e-09	3.96386785735e-09	2.75671310555e-06	5.53545932418e-06	2.72932684097e-09	5.84536315291e-07	2.33580985123e-09	1.73328754137e-12	9.48625972135e-06	8.39432729802e-11	1.63536163018e-09	0.999223768333
70702-01-53-00	4.09666824318e-06	0.00333096018338	6.51064499047e-09	4.76760856694e-09	4.2892622173e-06	3.74718739114e-06	3.42627456376e-09	1.15607644252e-06	1.00181222778e-09	5.4403119679e-12	2.97519901515e-06	1.38194294394e-10	8.78938762585e-10	0.996652758694
70702-01-53-00	1.19391321724e-06	0.000646470705761	2.65286425241e-08	1.21380235902e-08	4.84299140044e-07	2.51395617681e-05	1.57878903625e-09	3.30225177375e-06	3.97771405547e-09	2.11838101172e-12	4.4273089595e-05	1.75824959784e-10	1.22430345482e-10	0.999279091655
50703-01-23-00	0.00184817304084	0.34698480868	1.03151720314e-10	2.02112001444e-06	0.014427803368	8.45177487373e-05	1.77973001524e-05	1.57297078857e-05	4.54882346603e-05	4.87835096979e-09	2.31791484867e-08	8.85077441295e-09	0.632675205	0.00389841878875
50703-01-23-00	0.00354998926057	0.469898684015	1.01539960447e-10	2.28346954693e-06	0.00913171955982	0.000164386670046	2.84635234391e-05	6.21699093003e-05	0.000109472510563	7.20324287855e-09	2.78185739944e-08	1.22237920871e-08	0.514348847835	0.00270393589925
50703-01-23-00	0.0023562448881	0.544878858167	1.5097906223e-10	2.62684130483e-06	0.0200385579722	0.000142517196939	3.25655942429e-05	2.31018613026e-05	8.37994145795e-05	7.43277251217e-09	2.59443627273e-08	1.31873854446e-08	0.428140914418	0.00430076693091
50703-01-23-00	0.00777978037025	0.517372569627	3.77448051238e-10	5.3492796242e-06	0.0302095861174	0.000267365400934	4.71285362803e-05	5.99781103042e-05	7.22147432029e-05	1.34824527131e-08	5.85257470903e-08	3.93982998424e-08	0.437889598264	0.00629631776703
50703-01-23-00	0.00453133426497	0.620367339269	6.29756032334e-10	1.38934227962e-05	0.0785615284302	0.000456169970441	0.000117902989125	2.8406383945e-05	0.000136973983289	1.5669540115e-08	7.40319946294e-08	6.63336837298e-08	0.289360471996	0.0064258226251
50703-01-23-00	0.00631950758735	0.595040123471	2.32390474319e-09	4.29301472485e-05	0.160531056307	0.00188185925056	0.000365050536588	4.68078335443e-05	0.000405875524041	2.30887829909e-08	3.53286364194e-07	2.18413625793e-07	0.22567600953	0.00969018269944
50703-01-23-00	0.00379138937259	0.608840001949	1.00708604165e-09	2.4684859429e-05	0.131146296012	0.000950597719085	0.000257124315328	2.71924759735e-05	0.000345109468532	1.85503929944e-08	1.14243016482e-07	1.12481563535e-07	0.249102886417	0.00551447112843
50703-01-23-00	0.00603369248864	0.627754485254	1.21561223308e-09	3.31632959808e-05	0.0948298569152	0.00161895936997	0.000382225546051	7.91094887738e-05	0.000537885850095	1.862340855e-08	3.04400343488e-07	1.596899222e-07	0.262899089615	0.00583104824714
50703-01-23-00	0.00344438915073	0.639189100242	5.44445913792e-10	3.54158178157e-05	0.0982003150614	0.00100234778604	0.000464261126016	4.61753663606e-05	0.000521795654842	1.4080201859e-08	1.56250232095e-07	1.10044847037e-07	0.253724702869	0.00337121600541
60702-01-01-16	0.00931224217592	0.0472275210731	0.718989306351	1.97307440468e-05	0.182310853664	0.00335560385582	2.57280727745e-07	7.82728101926e-09	1.51849824218e-10	9.28812662028e-06	3.46950173867e-08	0.00175083115659	3.90542770985e-16	0.0370243228981
60702-01-01-16	0.00332980894996	0.112663932203	0.132399485378	0.000191281475553	0.656600907323	0.00616645891453	2.05381517942e-06	1.37115301867e-08	2.89925809637e-09	6.79461364659e-06	1.04109372324e-07	0.00126209274052	2.05226899843e-14	0.0873770638667
60702-01-01-16	0.0217425828406	0.402386374554	0.0121064861894	0.000518857688603	0.377067137468	0.0111553187844	3.99943092424e-06	1.13688876042e-06	5.28437247429e-08	1.00431283384e-05	2.88894376972e-07	0.000735648140578	1.84339701524e-11	0.174272073131
96701-01-20-00	0.392764921447	2.59899119353e-05	0.607200007273	3.4066685962e-14	9.5584487996e-09	1.61817566274e-08	3.11592887239e-14	2.62717174395e-10	5.13105190206e-21	2.59136309274e-08	3.78982336177e-10	8.10649213852e-06	2.2704638343e-24	9.22579538056e-07
96701-01-20-00	0.19946350029	2.15934325686e-05	0.800507203456	2.94104491908e-14	8.15299373761e-09	1.44154107236e-08	2.12908514568e-14	1.46178179888e-10	3.87047326067e-21	2.00007899252e-08	2.9594491928e-10	6.84641310966e-06	7.03177036573e-25	8.13397649956e-07
96701-01-20-00	0.112679581712	1.34688509278e-05	0.887300319698	2.30374827204e-14	6.80249242879e-09	1.32105334181e-08	1.49332782448e-14	8.93850015546e-11	3.27636450446e-21	1.540649913e-08	1.9767249785e-10	6.02841685258e-06	2.64064587934e-25	5.65615836453e-07
96701-01-20-00	0.110300332241	1.63290726866e-05	0.889679004409	1.45957350651e-14	2.53874142349e-09	6.38538401214e-09	5.39626478904e-15	7.8313818069e-11	7.24151699382e-22	1.05322052251e-08	1.23252296828e-10	4.02704239101e-06	6.48084699504e-26	2.87576118753e-07
96701-01-20-00	0.0771698083912	1.78837351121e-05	0.922809337274	9.28706003857e-15	1.72206838694e-09	4.61082933893e-09	3.15134101808e-15	5.30550166508e-11	4.44461862461e-22	8.26675167937e-09	9.35561008687e-11	2.69792599963e-06	3.35713064247e-26	2.57927028161e-07
96701-01-20-00	0.112513788714	3.09324511901e-05	0.887451434007	1.62902592736e-14	2.50901510932e-09	7.72815226554e-09	6.25398871647e-15	8.65354719596e-11	1.13286884573e-21	1.33611977095e-08	1.15452701818e-10	3.49923757827e-06	8.73212554788e-26	3.21789806228e-07
96701-01-20-00	0.193945089915	5.09283443004e-05	0.805997696016	4.03293565383e-14	4.45658207065e-09	9.08791406998e-09	1.52416792224e-14	1.48054630533e-10	1.50501135716e-21	1.91143708182e-08	2.30928790599e-10	5.71000593087e-06	2.19604008251e-25	5.42679927743e-07
96701-01-20-00	0.203994347777	4.06499156036e-05	0.795957313588	4.78159647216e-14	6.62647275159e-09	1.02746912233e-08	1.99647992404e-14	1.51785245345e-10	2.05872610105e-21	2.15357062691e-08	2.89246998389e-10	6.81738935989e-06	3.82148873289e-25	8.3245201528e-07
96701-01-20-00	0.122412548668	2.37929400589e-05	0.87755802635	2.87124803753e-14	4.18909726106e-09	6.70462558107e-09	8.69930887502e-15	8.75344341706e-11	9.47423194528e-22	1.42005234025e-08	2.30555725472e-10	4.78827680563e-06	1.53354121635e-25	8.18352194214e-07
40116-01-02-05	0.00432019081625	0.000180925499009	0.995451871882	1.16149049506e-10	5.08355107986e-07	2.0807918835e-06	1.81901439533e-13	1.45611857974e-10	1.08464306648e-15	4.59921096798e-06	6.5223904432e-12	2.52331518848e-05	1.28353344841e-21	1.45900244562e-05
40116-01-02-05	0.00578287572404	0.000121442965695	0.994052676843	9.88898609272e-11	3.43042651264e-07	2.00068998994e-06	1.25237761753e-13	1.93624860925e-10	7.61728246633e-16	4.10929107365e-06	6.18185935054e-12	2.69116689357e-05	1.16037576253e-21	9.6394758675e-06
40116-01-02-05	0.00683363518235	6.64851389982e-05	0.993054375091	7.18438438417e-11	3.06087752705e-07	2.26971221411e-06	1.21551205997e-13	2.51126395167e-10	8.39750634095e-16	3.28124223166e-06	1.11050008907e-11	2.8231278683e-05	1.88866564295e-21	1.14159330367e-05
91701-01-51-00	0.270680149225	5.6932105508e-06	0.729256728304	3.8931040826e-11	1.62961689101e-08	6.94419716116e-06	1.10027126974e-13	1.53976307024e-08	4.06968035875e-17	1.31372566444e-07	1.01471912059e-09	4.93045244071e-05	1.52231378445e-21	1.01641874668e-06
30703-01-26-00	0.217336266055	0.00197450204461	0.263786089875	0.00878663843408	0.0107049462912	0.377869949829	8.13249579665e-08	0.000270346952896	1.04928687895e-08	3.95693015511e-07	0.000161741088162	0.004281019417	5.20807003828e-11	0.11482801245
30703-01-26-00	0.0250270003168	0.200721893071	8.7625024898e-05	9.19915387326e-06	0.0100495917624	0.00345988263371	4.75484568933e-09	1.74435077362e-05	2.48860437101e-07	4.18938624142e-07	6.91319080659e-08	1.05802259736e-06	2.71050435724e-05	0.760598459778
30703-01-26-00	0.00914941654417	0.168378005762	4.71300792345e-05	0.000151122508597	0.00754610276144	0.0147745899778	6.38343348139e-08	7.3655182453e-05	2.28665395486e-06	9.8129285969e-08	4.3505644872e-06	1.78235397347e-06	7.18920112582e-05	0.799799503637
60701-01-09-00	0.000237759939902	0.778296896802	3.23284794678e-10	2.40255638448e-06	0.000328503331526	1.56679670774e-05	0.00170899634929	0.000258836849588	6.37487837368e-07	3.45525734017e-10	0.000382173040283	3.3209639405e-08	7.0806247091e-08	0.218768020992
60701-01-09-00	2.89090138362e-06	0.911514400848	1.50452631294e-12	1.59946591655e-09	0.000671140407799	6.38231911588e-08	5.44927005463e-05	3.94955877914e-08	1.36932336528e-07	2.3843997364e-10	7.82030427961e-09	6.09288845127e-11	2.67629882912e-07	0.0877565575409
60701-01-09-00	2.58777568951e-07	0.9885085976	2.07118087268e-12	1.08196066838e-11	0.000146652356817	2.29098160309e-10	3.4111276546e-09	1.17018848646e-11	6.8800868592e-11	9.94419921945e-10	3.04407677204e-14	1.28093958933e-12	2.44174962965e-09	0.0113444840941
60701-01-09-00	0.0853372735589	0.424015560397	0.290101228206	1.30848586024e-07	0.189454220503	0.000339786403813	9.76233657564e-09	1.41684047502e-09	2.11122546669e-11	8.42466792212e-05	3.40399627783e-11	0.000214076272251	3.89030790281e-15	0.0104534658971
60701-01-09-00	0.00238956527401	0.459219085028	0.133953092514	1.32597369451e-06	0.366785426399	0.00110199157142	1.00412666448e-07	4.94284204757e-10	4.75570894049e-10	1.49589824762e-05	4.82459276229e-10	0.00010248327948	3.73947604389e-15	0.0364319691121
60701-01-09-00	0.000493631707783	0.431599959218	0.0704477136563	1.0177525972e-05	0.361802031419	0.00292485043927	4.6558620518e-07	1.29700471462e-09	4.4916713475e-09	4.70707373646e-06	9.30594226773e-09	8.51923835942e-05	1.2617075721e-14	0.132631255895
60701-01-09-00	0.00165974816085	0.161023308671	0.234557358781	9.84526675789e-05	0.184650675844	0.0249791265365	1.36304643594e-06	5.68553885587e-08	2.13942199032e-08	3.36408142751e-06	9.25994668353e-07	0.000489640696657	3.51115765312e-14	0.39253595727
60701-01-09-00	0.0181028104484	0.0244985234816	0.250894053089	0.000519322216707	0.0893636687036	0.0608072976341	2.18339575648e-06	2.3366991692e-06	1.84942722245e-08	2.18255159678e-06	3.62567633467e-05	0.00265960339179	4.72728345018e-13	0.55311174313
60701-01-09-00	0.0790666090603	0.00179870155626	0.452771866168	0.000213115071254	0.00604668730797	0.0442782539917	1.11025091859e-07	2.37847470517e-05	1.55834598777e-09	7.37527238302e-07	0.000178000547578	0.00316242008073	4.13120110241e-13	0.412459711359
80701-01-62-00	0.0737066160878	1.60216961397e-08	0.926277812461	3.68032263088e-14	1.51891381275e-09	1.43019709221e-07	1.10015566335e-15	3.8825392345e-10	1.64220724877e-19	3.67572267629e-08	1.83687788107e-10	1.37009781217e-05	8.76223924959e-24	1.67258385924e-06
80701-01-62-00	0.195639952079	5.13657167249e-08	0.804336450976	9.29594138302e-14	2.69231581397e-09	1.55921089508e-07	2.65855270188e-15	8.41906343628e-10	1.91445282515e-19	6.17207793612e-08	3.58203704132e-10	2.06194259414e-05	4.18405266212e-23	2.70461952884e-06
80701-01-62-00	0.244170316285	9.91640952743e-08	0.755795513539	2.51796638573e-13	4.9160348996e-09	1.50533965152e-07	5.97640177707e-15	1.02657714216e-09	1.87257051789e-19	6.94390851667e-08	6.73051996095e-10	3.01261485194e-05	7.41496024652e-23	3.71827480085e-06
80701-01-62-00	0.327893995602	1.40161661037e-07	0.672072993585	2.88060748211e-13	3.99254220635e-09	1.30480998336e-07	5.81165581821e-15	1.38592445718e-09	1.37302943086e-19	6.81060151434e-08	7.39333640476e-10	2.95490392854e-05	8.51760152604e-23	3.1169070172e-06
80188-01-01-00	4.56114903659e-11	5.55381553553e-10	0.949212331425	1.008344563e-09	6.49788496973e-09	2.23025327295e-11	2.04585762244e-12	4.58083504862e-20	1.93730542202e-13	0.0438135423559	7.73664154665e-08	0.00277300819428	2.52624472431e-21	0.00420103252673
90105-06-01-00	2.10090916433e-07	1.13392939193e-05	3.23871726914e-12	3.05008739042e-05	5.8626147128e-06	0.00396076121385	0.900219372292	0.000197036143342	0.0271224888279	1.13104420127e-13	0.0684521132931	1.19909851532e-07	1.80337392382e-07	1.51053265174e-08
90105-06-01-00	1.4162703506e-07	8.19342180352e-06	3.12223066593e-12	6.18911100042e-06	9.34741548166e-06	0.00266779539333	0.908610028424	6.75804048709e-05	0.021918167003	8.68032020029e-14	0.0667122925526	6.76764751833e-08	1.57621183264e-07	3.93455370478e-08
90105-06-01-00	5.16112485786e-08	6.58835660205e-06	2.80722941136e-12	5.78304048765e-06	8.99176757651e-06	0.00288577197516	0.906057711047	2.73863044255e-05	0.0318866076252	5.66848625287e-14	0.0591209293047	4.44087942482e-08	1.00803125608e-07	3.37527087612e-08
90105-06-01-00	3.29267546762e-08	9.09574524395e-06	2.03541549125e-12	5.8881292164e-06	1.61194704681e-05	0.00215637598306	0.920233288771	1.13482144453e-05	0.0364301177904	5.59622262881e-14	0.0411373644075	2.85414606603e-08	2.83778176464e-07	5.62397875519e-08
90105-06-01-00	2.5339151409e-08	8.19505999392e-06	1.35132602103e-12	4.02233044693e-06	1.74102046336e-05	0.00149991921212	0.934994952604	7.10779808643e-06	0.0294436985286	4.36078138327e-14	0.0340242742275	1.99959964601e-08	3.12101903142e-07	6.25966049038e-08
90105-06-01-00	1.31333173524e-08	7.09109925344e-06	2.05651415619e-12	1.27369323191e-05	1.77281235552e-05	0.00271884146664	0.910477161581	4.97733202399e-06	0.0527826821293	3.95841444436e-14	0.0339784622264	2.65649924409e-08	2.49325954621e-07	3.00831883981e-08
50405-01-02-01	0.000528996702334	3.60411519061e-08	0.999241596698	5.04541855562e-12	9.17019859816e-07	2.76594909135e-07	1.80331724778e-13	2.81809955459e-13	2.0651121622e-16	2.90958890393e-06	1.18362409327e-10	7.10073723304e-05	2.2622772705e-21	0.000154259858906
60701-01-22-00	0.0967434164457	8.7204295277e-12	0.00434154699311	0.000266199827762	0.726014771564	0.0387294964499	7.34190718412e-08	1.30987734132e-08	4.07682212394e-12	3.38781166231e-10	5.06023921632e-09	0.133904474588	1.04146264465e-13	2.2010809984e-09
60701-01-22-00	0.11829950256	5.26598230363e-12	0.00742873639744	0.000204004942221	0.643802314803	0.0479493161335	6.8118710727e-08	1.66501512253e-08	3.32907813158e-12	2.88487739931e-10	1.110139578e-08	0.182316026393	7.30925112526e-14	2.60320455678e-09
60701-01-22-00	0.170725705484	3.47192965354e-12	0.00776056470255	0.000197143639853	0.570599599609	0.0311910022678	4.91428500263e-08	1.84880520292e-08	1.1744814198e-12	2.49980750388e-10	1.35498085958e-08	0.219525899916	5.38895211158e-14	2.94620694187e-09
60701-01-22-00	0.1142343246	2.90770060961e-12	0.00958570267467	0.000303580156981	0.56180231784	0.0462594258856	7.21935522449e-08	1.69666800919e-08	1.80146997534e-12	2.06262504365e-10	2.25683732398e-08	0.267814534468	3.27058786918e-14	2.43556121094e-09
60701-01-22-00	0.0750587822062	4.10931959674e-12	0.0104442982565	0.000294988321983	0.615328374223	0.0721944458155	9.62988776296e-08	1.46861061063e-08	5.07376634398e-12	2.29852364163e-10	2.34128412506e-08	0.226678974101	4.49308909444e-14	2.43959622941e-09
60701-01-22-00	0.121185648603	7.21222923399e-12	0.0062308172594	0.000581399840987	0.536139985577	0.0845129399619	1.72318389633e-07	3.48115353576e-08	7.73158876452e-12	2.84337683276e-10	2.99792044935e-08	0.251348969047	8.73382659167e-14	2.30276657887e-09
60701-01-22-00	0.0547099000212	6.83386943341e-12	0.00599196204436	0.000377433463773	0.694638247903	0.0768651800466	1.54283784368e-07	1.32244792193e-08	1.07495053142e-11	2.36221525081e-10	1.85955940335e-08	0.16741708807	8.77757852823e-14	2.09374094874e-09
60701-01-22-00	0.0738236421912	8.552685944e-12	0.00491315917713	0.000337771894497	0.701425034853	0.0622457210834	1.56760533079e-07	1.58608145439e-08	8.81744741206e-12	2.66378211796e-10	1.74803413216e-08	0.157254477893	1.2054998604e-13	2.52295103403e-09
60701-01-22-00	0.0815350893509	6.87914680335e-12	0.00496501451642	0.000445973349247	0.673676623278	0.0473639235938	1.5606512889e-07	1.82653532419e-08	4.53447821754e-12	2.18001077663e-10	2.59509798992e-08	0.192013172527	8.12920841084e-14	2.87344430335e-09
10258-01-02-00	4.21181079502e-11	5.07312061448e-11	0.973919443729	2.50477213125e-07	2.83392919792e-09	8.70234401401e-10	3.24065064152e-12	1.80633901863e-18	3.20683792525e-11	0.00662843258309	0.000233665739883	0.00688609935511	2.62776797525e-16	0.0123321042836
10258-01-02-00	4.0190558784e-11	7.6107290288e-11	0.966347225322	2.64991298376e-07	3.62738765801e-09	9.11880763809e-10	4.19609000477e-12	1.78960780872e-18	4.66477185577e-11	0.00805138665729	0.000270453099	0.00654360973997	4.18419221278e-16	0.0187870554839
10258-01-02-00	6.57455851178e-11	1.6971174293e-10	0.94479481224	5.69908451525e-07	7.88437664279e-09	1.38726121009e-09	1.05427998295e-11	2.71357005475e-18	1.08840617812e-10	0.0139493306214	0.000398646645987	0.00935265673084	1.70467397776e-15	0.0315039742269
10258-01-02-00	7.78494132806e-11	2.64387193687e-10	0.930599333095	7.23171979755e-07	1.11093557484e-08	1.37717900106e-09	1.41829708549e-11	2.74921346551e-18	1.33549449757e-10	0.0183568579895	0.000434903604239	0.0102848866095	3.35255459381e-15	0.040323282553
10258-01-02-00	4.53321313136e-11	2.37914341714e-10	0.927601022365	5.57102371976e-07	1.02661713893e-08	9.68937524059e-10	1.05315565912e-11	1.74993701365e-18	9.12027308547e-11	0.013944897883	0.000389086325864	0.00776280256068	1.70612927749e-15	0.050301622143
10258-01-02-00	4.24543533096e-11	2.9000542314e-10	0.92748653574	6.90730270562e-07	1.20239065558e-08	9.67242893384e-10	1.05964355969e-11	1.47496493155e-18	8.93595244144e-11	0.0153358292047	0.000283612004498	0.00766538106882	1.53784112233e-15	0.049227937828
30703-01-05-00	0.00118872866338	9.73257740903e-12	0.0014213406302	0.111006688441	0.000931574327085	0.862204032901	5.80821833695e-09	1.27842653585e-06	4.16150360808e-09	3.47350731543e-11	7.44420113176e-07	0.0232456020042	3.44482238795e-11	1.3708540345e-10
50703-01-67-01	0.042840716808	9.57343652999e-07	0.94089090181	9.07118176052e-11	5.14573749328e-05	9.60395213545e-06	3.48162345857e-12	1.2514958203e-10	2.10886386683e-15	1.3281485921e-06	3.81522484656e-09	0.000108922887965	2.85970430598e-18	0.0160961076397
50703-01-67-01	0.0591876311858	1.40302738354e-06	0.921838074607	8.61617549379e-11	6.74979701555e-05	1.07203787522e-05	3.98195389253e-12	1.42472676325e-10	2.97128463608e-15	1.96029138659e-06	2.89861253764e-09	0.000111741437364	5.58734624833e-18	0.0187809679707
90701-01-07-00	0.00123268720188	4.1619105479e-09	0.99842188571	1.77605294057e-10	9.01957425788e-07	4.33514041309e-07	6.78427330379e-15	1.28211929809e-10	6.76649180861e-19	1.33498159576e-08	9.23226677352e-11	6.24720124612e-05	3.69320582208e-24	0.000281601694752
90701-01-07-00	0.00134349131651	4.56225875657e-09	0.998331170397	1.56970433616e-10	6.82876843285e-07	3.38773396349e-07	4.28807870804e-15	1.34427695185e-10	4.04399544036e-19	1.29902372441e-08	6.91802712234e-11	5.37895614408e-05	2.67224994072e-24	0.000270509162083
30182-01-02-00	0.00406634703039	2.12677054635e-05	0.99583536859	1.13115484495e-09	8.19567740154e-07	6.53915238467e-05	1.84208888708e-14	1.02618129216e-09	2.15183165487e-15	9.60927327486e-08	2.95718698769e-12	7.26775890304e-06	8.29749270451e-21	3.43957062129e-06
