	alpha	beta	chi	delta	eta	gamma	kappa	lambda	mu	nu	omega	phi	rho	theta
90105-06-03-00	5.48634269507e-05	0.0273950709826	2.15390399227e-13	0.00012902217336	2.35299409835e-08	0.000198277880373	9.94206726387e-05	0.971552783457	0.000569832099314	1.57455687727e-11	3.06140408754e-07	7.11751538022e-09	3.89248507681e-07	3.25509690562e-09
90105-06-03-00	1.37237102852e-05	0.00692836444406	4.22952053464e-14	3.56204616656e-05	2.86509872528e-09	0.000193964093444	0.000103049260668	0.991298360256	0.00142634257031	3.15245977708e-12	4.1725656831e-07	2.07294458501e-09	1.52516279883e-07	4.89220759813e-10
90105-06-03-00	3.91794354793e-06	0.00297582935741	7.35451048081e-15	7.68506950542e-05	4.80094371201e-10	6.95572390956e-05	5.28370250173e-05	0.996199139392	0.000621531327933	7.91845532886e-13	2.75298427347e-07	9.168492903e-10	6.02497059388e-08	7.36741493298e-11
90105-06-03-00	5.11665652694e-05	0.0667179000326	2.05970220704e-14	1.1867550275e-05	1.56940996374e-08	8.08414788956e-05	0.000100895978836	0.931251592563	0.00178333830362	1.83819193384e-11	2.69851374789e-08	1.16021072419e-09	2.35184706004e-06	1.82273354396e-09
90105-06-03-00	0.000265773645867	0.36946412768	6.86882796561e-14	3.2236832854e-06	3.37133795228e-07	0.000422976659469	0.000384250732849	0.591692467452	0.0376064606303	2.24894115618e-10	1.05391308362e-08	1.75888549747e-09	0.000160351049313	1.88095712708e-08
90105-06-03-00	8.02335657004e-05	0.446029443174	8.51537869053e-14	1.4022050284e-06	2.43820556031e-06	0.00106353233743	0.0013554592399	0.0605069537313	0.489250326962	2.91832923827e-10	9.70549079213e-09	1.09174375814e-09	0.00171015142884	4.80617259277e-08
90105-06-03-00	0.000262657320654	0.421683925934	1.60219557631e-13	5.1999803308e-07	9.51153650329e-06	0.00132997808304	0.00130520178788	0.0375925240286	0.523383964251	6.82684321372e-10	7.7974914687e-09	1.41528523652e-09	0.0144315310817	1.76082552762e-07
10258-01-06-00	2.91553687913e-09	1.13379437526e-05	0.0470049005019	1.50511844306e-06	1.64843765474e-09	8.12360415013e-08	3.28685170591e-12	2.38911714081e-13	3.39686593419e-09	0.00208825313071	1.95902506181e-05	2.85386221616e-05	1.87393868018e-14	0.950845785232
10258-01-06-00	7.90704545121e-09	2.31856795225e-05	0.0351604287734	2.33057839395e-06	1.81131599555e-09	9.66918619814e-08	5.73257333377e-12	5.6439886909e-13	4.86840989427e-09	0.00467226547203	1.50192653106e-05	4.03359682176e-05	3.7315467909e-14	0.960086322978
10258-01-06-00	6.01505313354e-09	1.39490816952e-05	0.0182102413585	1.00893131933e-06	1.3999937543e-09	4.90634779643e-08	3.44703394048e-12	3.38267360188e-13	2.73638437014e-09	0.00303920569766	9.41038045618e-06	2.15990279999e-05	4.52665447827e-14	0.978704526304
10258-01-06-00	4.32786874726e-09	8.21717022926e-06	0.00970153077867	6.15257068399e-07	6.27088059213e-10	3.07928336842e-08	2.2206912094e-12	3.58963704468e-13	1.74513625676e-09	0.00156588415973	1.26927038943e-05	1.21114563124e-05	4.06059284062e-14	0.988698910979
10258-01-06-00	4.999760892e-09	2.41215522029e-05	0.0108294603338	1.56044622035e-06	9.98558713871e-10	7.72353521814e-08	7.60133280576e-12	6.52464545629e-13	9.33911074757e-09	0.00297867252951	1.79160652701e-05	1.79081023235e-05	7.99953465034e-14	0.98613026839
10258-01-06-00	6.12938385412e-09	2.32637640058e-05	0.0157945590004	1.4813603939e-06	4.71823609793e-10	9.11467553361e-08	3.90164891825e-12	1.35223379094e-12	7.20220425487e-09	0.00247061876764	2.94802822971e-05	1.72073391629e-05	6.11514961892e-14	0.981663284531
10258-01-06-00	2.45009762337e-09	1.9172974334e-05	0.00379537504538	1.01536137718e-06	2.30451342239e-10	3.96979193392e-08	2.85971685819e-12	1.03869266236e-12	5.91225628163e-09	0.000921330474414	2.84958919934e-05	5.355952563e-06	1.06422495628e-13	0.995229206005
10258-01-06-00	3.81817175431e-09	2.36873845449e-05	3.83538537936e-06	1.6461983981e-07	9.02220213674e-11	1.94188264809e-09	1.07587392337e-11	2.62598892367e-12	5.46595337135e-09	0.000164898625947	9.31746619675e-06	2.05179701208e-07	3.8905322808e-11	0.99979787997
20186-03-03-02	0.000208404215241	0.0481781668586	6.4772897528e-12	7.57286179915e-06	7.46009850517e-05	0.0243313086499	0.0028414594146	0.017943603106	0.880825082239	2.10636845678e-10	7.55264738317e-07	1.40081371394e-08	0.025588545848	4.86331777426e-07
20186-03-03-02	2.98594604504e-05	0.0160664823292	1.15706385732e-12	1.71005147032e-06	1.85053836258e-05	0.0105521008089	0.00197666677922	0.00529017705053	0.959217582974	4.53028287258e-11	3.44788306144e-07	2.81345332171e-09	0.00684643768965	1.29824444002e-07
20186-03-03-02	5.52511589593e-05	0.0184798832159	3.43220535217e-12	1.62292758897e-06	4.09817982635e-05	0.0160917705515	0.00183529879668	0.00532886405203	0.948097871164	8.29003210128e-11	4.6350233607e-07	4.91245485072e-09	0.0100676613347	3.26499040336e-07
20186-03-03-02	0.000220862436402	0.062934341936	9.1852091321e-12	7.17327206504e-06	0.00010735369773	0.0248840495533	0.00286356722221	0.0150668864801	0.863649162519	2.63891138876e-10	8.70986917316e-07	1.48928274333e-08	0.0302648112985	9.05431800828e-07
20186-03-03-02	8.55959285876e-05	0.101710155329	2.64385260393e-12	5.41420983431e-06	0.000107347614225	0.0106688847057	0.00299048880308	0.00547131148696	0.84983812047	1.97724207615e-10	2.07973004261e-07	5.88749074404e-09	0.0291219733794	4.94012490024e-07
60701-01-05-00	0.0292909003797	0.000192384382082	0.970490102395	4.37858275504e-11	7.03530165394e-07	5.6296436691e-06	1.92238653173e-13	8.67555548553e-10	9.68976806817e-17	1.57351331836e-07	4.07347569778e-11	1.05919046702e-05	1.07097143596e-21	9.52946125283e-06
60701-01-05-00	0.0594362335116	0.000109039652051	0.940429183697	3.46241924804e-11	3.62027495062e-07	5.13477396676e-06	1.22147750588e-13	1.95352578135e-09	5.21804973544e-17	1.34268284718e-07	6.11479358669e-11	1.24966815667e-05	1.1705304814e-21	7.41333905881e-06
60701-01-05-00	0.0713417628385	7.78272903181e-05	0.928559435037	2.19938288215e-11	1.8059061012e-07	3.94495318434e-06	7.14618902549e-14	2.46185231953e-09	2.6291517617e-17	9.78320908983e-08	7.99652085801e-11	1.07483771167e-05	8.21734687324e-22	6.00051772266e-06
70702-01-20-00	1.49881285262e-05	7.82863205894e-05	0.96252737463	4.06893984472e-07	0.0267548410285	0.00916326719971	2.87530930461e-08	4.82950864602e-11	1.12958595044e-09	1.87851008416e-07	9.45105100058e-09	0.000205995328064	1.46935700051e-18	0.00125461323803
70702-01-20-00	3.11850540028e-05	0.000146630565824	0.94954881894	7.16382303898e-07	0.0371086051981	0.0111466226688	4.67516981755e-08	9.63290549826e-11	1.47388172459e-09	2.99758874504e-07	1.30406148144e-08	0.000290726083336	3.96765774718e-18	0.00172633398654
70702-01-20-00	1.61226001306e-05	0.00010630922317	0.972884075989	4.09611769789e-07	0.0184969032511	0.00729465641968	1.76500251909e-08	4.76425416291e-11	6.83951832362e-10	1.97524195731e-07	6.28378798273e-09	0.000172222685012	1.02465571624e-18	0.00102907803035
70702-01-20-00	2.49445780607e-05	0.000337394969041	0.945033353892	9.19140959353e-07	0.0436552122448	0.00869442033929	4.18620908481e-08	5.89979026421e-11	1.13697957217e-09	3.6147044431e-07	7.57663648133e-09	0.000222780380451	3.19278352876e-18	0.00203056235044
80701-01-40-01	5.26506323017e-06	6.12954018208e-06	0.999938984037	9.33581762818e-09	1.93789690895e-05	2.52419475172e-05	7.12758320196e-15	1.50580739028e-12	9.11375438305e-15	1.16944209523e-07	2.48352640283e-15	4.16060567621e-06	5.93765520155e-23	7.13556007857e-07
80701-01-40-01	2.00480524978e-06	5.34923743355e-06	0.999941414979	9.32755474473e-09	2.25632639262e-05	2.45205136755e-05	8.95680725801e-15	6.81619451953e-13	1.11644994605e-14	7.21762805001e-08	3.76555399801e-15	3.10338664416e-06	3.7525408302e-23	9.62309770474e-07
80701-01-40-01	2.60511192509e-06	5.67494345124e-06	0.999953157743	9.71222891108e-09	1.58901133894e-05	1.847999059e-05	6.40716421345e-15	9.40287001095e-13	5.66510006887e-15	6.88482644961e-08	3.9094895595e-15	3.14246064719e-06	2.50688245609e-23	9.7107575573e-07
80701-01-40-01	5.88915485052e-06	3.42352260639e-06	0.999966639796	4.44482967055e-09	5.62401877835e-06	1.46459671234e-05	2.66852437639e-15	2.33953851251e-12	2.48840939543e-15	6.41729656349e-08	3.75500476032e-15	3.10489375345e-06	1.80182719425e-23	6.04027149617e-07
80701-01-40-01	1.4232484327e-05	2.39440884357e-06	0.999960845625	3.97628537913e-09	3.57270855689e-06	1.4241464704e-05	2.03730354042e-15	6.02999275898e-12	1.54649382463e-15	6.61056127432e-08	5.9361366318e-15	4.064234596e-06	2.6292722812e-23	5.78985614603e-07
80701-01-40-01	1.93366601115e-05	1.59846966114e-06	0.999964409398	1.95083885797e-09	1.6817279047e-06	9.17388946829e-06	8.10077828015e-16	7.57900049814e-12	5.94358950416e-16	5.4786093214e-08	4.7595619387e-15	3.27980674389e-06	1.62696869531e-23	4.63303745955e-07
80701-01-40-01	4.93746267646e-06	8.05166522546e-07	0.999986635442	7.40509112902e-10	1.04177005924e-06	4.6583837512e-06	2.91031683555e-16	1.88577853102e-12	2.66865512195e-16	2.56218893562e-08	2.5235522818e-15	1.49108121882e-06	3.22312305468e-24	4.04329426305e-07
95701-01-41-00	0.00367021908667	0.000246115916797	0.874277821854	4.01068458573e-06	0.0660989886398	0.0130155119738	8.57347218305e-07	3.50772902224e-08	7.8468922829e-10	7.22382403983e-07	5.08033390831e-06	0.00431359561316	2.14865305296e-16	0.0383670403057
95701-01-41-00	0.00312661852741	0.000142587850195	0.918018074149	2.51193315549e-06	0.0349999263689	0.0094597789868	3.7651231936e-07	3.42245219307e-08	3.70457428601e-10	4.69225468312e-07	4.76151853072e-06	0.00336267026683	1.0901666778e-16	0.0308821900668
95701-01-41-00	0.00307121261965	0.000110639071538	0.938828824457	1.61421840943e-06	0.0212297194895	0.00598584202486	1.56693728935e-07	3.27840373403e-08	1.61072113141e-10	3.86540739494e-07	3.36978758206e-06	0.00259519960217	6.88343155323e-17	0.02817300255
95701-01-41-00	0.00338654337701	7.96909750775e-05	0.951160463439	1.30196327968e-06	0.0152327652827	0.00644063246662	1.2750331332e-07	4.23930650639e-08	1.54597697066e-10	3.40640102351e-07	3.50161745815e-06	0.00262600212993	5.72453815907e-17	0.0210685880579
70702-01-33-00	0.0037941614023	2.15745269099e-09	0.146979652153	0.00157766493353	0.431813062842	0.309059412035	2.95633450635e-07	6.98706949284e-08	9.31098687943e-10	1.70245469629e-09	1.84227961626e-06	0.106773208081	9.36980994527e-14	6.25979153929e-07
40115-01-05-00	7.218167809e-08	1.55566372989e-05	1.73053064714e-19	3.10847896605e-10	2.16345308967e-07	4.28574442797e-06	0.687991432884	3.65495673826e-05	0.311873401195	1.85951123123e-14	3.30807539031e-09	4.76583406523e-12	7.8481816182e-05	5.43416171923e-12
40115-01-05-00	3.6052917615e-07	2.2071822187e-05	2.65578347635e-19	6.95570048779e-10	2.66185539885e-07	5.61426470546e-06	0.78459518588	0.000165339153092	0.215023923201	3.89018180866e-14	5.9672000753e-09	1.15355874942e-11	0.000187232280228	9.39750634658e-12
40115-01-05-00	6.18053422112e-07	2.77182280514e-05	2.38080964725e-19	1.4333261875e-09	2.41939418652e-07	3.35415345203e-06	0.93127351762	0.000297293289472	0.0681654193467	3.0323707643e-14	1.88675037778e-08	1.5394570714e-11	0.000231817037666	1.5671952512e-11
40115-01-05-00	2.66095747e-07	1.79561988332e-05	2.3291440671e-19	1.06703946181e-09	2.16157283873e-07	3.76495987337e-06	0.898426300136	0.000145081525567	0.101236154285	1.9687324936e-14	2.01841171126e-08	1.1206527213e-11	0.00017023936651	1.2537670213e-11
