tstart,alpha,beta,chi,delta,eta,gamma,kappa,lambda,mu,nu,omega,phi,rho,theta
375153664.086,6.99420108808e-13,0.840082022977,1.66396597888e-14,9.39479062919e-08,7.79685760826e-17,0.00183343166141,0.000150196217408,0.0141583945209,0.143770699357,2.48903846905e-08,6.28682561293e-11,2.40873526161e-11,5.13599129623e-06,3.4932488398e-10
375153920.09,9.54166581967e-13,0.461480931186,5.49026217355e-14,6.88218380081e-09,2.25083883007e-16,0.00207473336841,0.000284057779735,0.00506152971705,0.53107435417,4.59809952036e-07,3.07018367384e-11,9.55874428414e-12,2.39262441769e-05,8.00565799439e-10
375154176.094,4.3259959814e-12,0.323727223359,1.22334601615e-13,4.35296437141e-10,1.07361667301e-15,0.00156774084298,0.000183921481874,0.000912816522898,0.67349970154,3.14150181412e-06,3.89677405539e-12,3.77504105197e-12,0.000105452189026,2.1150574219e-09
83939728.0625,2.21067544654e-12,7.30191244663e-06,0.0130718933955,1.69540863023e-10,4.36886118373e-13,4.15553878404e-06,3.90983020863e-10,2.25647252516e-08,1.26151962089e-10,0.0107930122198,1.08897718847e-05,2.31090982026e-11,5.08139565867e-15,0.976112723884
83939984.0625,3.3176327357e-12,9.20826905685e-06,0.00346585169531,1.5690664024e-10,2.0435554889e-13,2.79087201442e-06,4.71548188531e-10,1.96569003087e-08,1.47205231061e-10,0.00808390865885,4.08018908971e-06,1.07506780726e-11,8.33246043176e-15,0.988434139869
83940240.0625,2.25266942964e-12,8.56136323025e-06,0.00194402244631,9.33216513681e-11,1.66369567805e-13,1.52018349975e-06,2.17562274494e-10,1.22614731115e-08,6.79159897109e-11,0.00715764664725,1.31364605017e-06,5.09292663563e-12,8.980192909e-15,0.990886923066
83940496.0625,7.79542984884e-13,7.27510775787e-06,0.00090887489423,7.39548612743e-11,5.2481541723e-14,8.61576148925e-07,1.72287704649e-10,1.31659626524e-08,4.55657568751e-11,0.00521425321996,1.08018299114e-06,2.06122132536e-12,5.96836816445e-15,0.993867641558
83940752.0625,5.09513843991e-13,9.04832975977e-06,0.00054920460053,1.09318709919e-10,2.02215723702e-14,1.12896719287e-06,3.66068678155e-10,2.05187313493e-08,9.79202795425e-11,0.00644841437554,1.25227175892e-06,1.52677764733e-12,8.1117200594e-15,0.992990930361
83941008.0625,3.15652254395e-13,1.53871295941e-05,0.00115561051096,1.47752438358e-10,9.68368548498e-15,3.23419046905e-06,4.59559628577e-10,4.49589187392e-08,2.52142941337e-10,0.0094941717043,1.63417418572e-06,1.960852115e-12,6.56410916443e-15,0.98932991647
83941264.0625,2.3431755497e-14,8.38832960144e-06,0.000176029869164,3.30084622802e-11,5.07108292449e-16,9.66214153005e-07,2.19313921784e-10,1.44987858221e-08,7.65506523836e-11,0.00242155446908,2.34585487347e-07,1.66362994484e-13,4.84287767012e-15,0.997392811705
83941520.0625,1.95485423066e-15,3.65029609318e-06,3.55782188534e-08,1.2102920387e-13,4.27896467678e-18,7.40785277019e-09,1.16846396249e-10,1.21782177156e-10,1.57855359078e-12,0.000206051388162,1.25028154454e-11,4.22942120705e-17,1.6860758939e-13,0.999790255077
114241128.07,2.68110924061e-12,0.0324197847115,8.76830676129e-12,1.91101096487e-09,5.91909018499e-15,0.00635999904221,0.000419251651257,0.000176908321554,0.960579029121,1.63215029654e-05,1.82382888969e-10,6.58415635246e-11,2.86993626995e-05,4.11656676449e-09
114241384.07,2.19301443901e-13,0.00997856096049,2.0778014802e-12,5.74510280382e-10,2.83614183819e-16,0.00299845012098,0.000264930868988,0.000127549666884,0.98661766517,7.61083779882e-06,1.00421225239e-10,1.09089071163e-11,5.23084954139e-06,8.36697657896e-10
114241640.069,2.94839431332e-13,0.010267607603,7.45350150079e-12,3.03551208704e-10,4.5950313839e-16,0.00491837249487,0.000186038130369,7.48989596744e-05,0.984529728519,1.77412347902e-05,6.29972198357e-11,1.20932574741e-11,5.61111082086e-06,1.56090484403e-09
114241896.069,2.60131109292e-12,0.0488854356275,1.49164655486e-11,1.70990479742e-09,5.46841993698e-15,0.00917015206232,0.000421952529026,0.000177426558343,0.941286639852,2.35959237075e-05,1.33427865124e-10,6.16905390355e-11,3.47882825712e-05,7.24247813066e-09
114242152.068,1.52648720517e-12,0.0771295427877,7.6385207587e-12,1.31752176188e-09,1.41091443867e-15,0.0111747151749,0.000313883661054,0.000102976493006,0.911190740894,1.54691325277e-05,2.25335784566e-11,2.54163727496e-11,7.26583671225e-05,1.21151752479e-08
